task_id,length,deadline,vm_id,start_time,finish_time,exec_time,cost
8,115,310,0,0.10000,0.43500,0.33500,0.00460
3,208,888,2,0.10000,0.54500,0.44500,0.00416
7,403,844,1,0.10000,0.92900,0.82900,0.01209
4,719,1227,0,0.10000,1.62200,1.52200,0.02876
9,778,1474,2,0.10000,1.73200,1.63200,0.01556
5,814,1622,2,0.65500,2.29000,1.63500,0.01628
2,839,1251,2,1.84200,3.63400,1.79200,0.01678
6,1093,1957,2,2.40000,4.59600,2.19600,0.02186
1,1149,1499,2,3.74400,6.04600,2.30200,0.02298
0,1893,2095,2,4.70600,8.49400,3.78800,0.03786
17,441,1322,2,8.59400,9.47900,0.88500,0.00882
16,488,873,0,8.59400,9.58900,0.99500,0.01952
12,524,1091,1,8.59400,9.69900,1.10500,0.01572
11,501,1382,2,8.59400,9.69900,1.10500,0.01002
15,552,1482,0,8.59400,9.80900,1.21500,0.02208
13,824,1341,2,9.58900,11.24000,1.65100,0.01648
18,968,1844,2,9.80900,11.86000,2.05100,0.01936
10,969,1746,2,11.35000,13.40400,2.05400,0.01938
19,993,1846,2,11.97000,14.04800,2.07800,0.01986
14,1308,1624,2,13.51400,16.13400,2.62000,0.02616
21,242,501,0,16.23400,16.74200,0.50800,0.00968
23,402,901,0,16.23400,17.09700,0.86300,0.01608
25,398,906,1,16.23400,17.09700,0.86300,0.01194
28,558,734,1,16.23400,17.42700,1.19300,0.01674
24,595,782,2,16.23400,17.53700,1.30300,0.01190
22,753,1193,2,16.23400,17.75700,1.52300,0.01506
27,812,1657,2,17.64700,19.38200,1.73500,0.01624
20,1118,1317,2,17.86700,20.11000,2.24300,0.02236
26,1235,1847,2,19.49200,21.98600,2.49400,0.02470
29,1772,2504,2,20.22000,23.87800,3.65800,0.03544
31,242,806,0,23.97800,24.46400,0.48600,0.00968
37,693,1008,2,23.97800,25.37000,1.39200,0.01386
34,734,1179,0,23.97800,25.48000,1.50200,0.02936
35,738,910,1,23.97800,25.48000,1.50200,0.02214
33,852,1404,2,23.97800,25.70000,1.72200,0.01704
32,1261,1744,2,25.48000,28.00400,2.52400,0.02522
30,1309,1612,2,25.81000,28.43000,2.62000,0.02618
38,1513,1767,2,28.11400,31.14200,3.02800,0.03026
36,1543,2156,2,28.54000,31.62800,3.08800,0.03086
39,1686,1911,2,31.25200,34.62600,3.37400,0.03372
43,420,1156,0,34.72600,35.62800,0.90200,0.01680
41,474,583,0,34.72600,35.73800,1.01200,0.01896
46,533,1285,1,34.72600,35.84800,1.12200,0.01599
42,593,1407,2,34.72600,35.95800,1.23200,0.01186
45,649,1062,1,34.72600,36.06800,1.34200,0.01947
47,792,1131,2,34.72600,36.42600,1.70000,0.01584
44,841,1012,2,36.06800,37.86600,1.79800,0.01682
49,994,1365,2,36.53600,38.53400,1.99800,0.01988
40,1075,1492,2,37.97600,40.22000,2.24400,0.02150
48,1335,2059,2,38.64400,41.42600,2.78200,0.02670
56,425,572,0,41.52600,42.42400,0.89800,0.01700
55,656,782,1,41.52600,42.84400,1.31800,0.01968
57,673,1335,2,41.52600,42.95400,1.42800,0.01346
50,948,1828,2,41.52600,43.53800,2.01200,0.01896
59,956,1442,2,43.06400,45.09200,2.02800,0.01912
52,1175,2095,2,43.64800,46.00600,2.35800,0.02350
54,1393,1966,2,45.20200,48.10000,2.89800,0.02786
51,1639,2387,2,46.11600,49.51000,3.39400,0.03278
53,1867,2378,2,48.21000,51.95200,3.74200,0.03734
58,1980,2143,2,49.62000,53.69400,4.07400,0.03960
65,157,282,0,53.79400,54.12000,0.32600,0.00628
62,109,323,1,53.79400,54.12000,0.32600,0.00327
66,216,1107,0,53.79400,54.23000,0.43600,0.00864
67,261,771,2,53.79400,54.34000,0.54600,0.00522
68,527,1364,2,53.79400,54.96800,1.17400,0.01054
64,746,867,1,53.79400,55.40800,1.61400,0.02238
63,934,1700,2,54.45000,56.32400,1.87400,0.01868
61,1146,1825,2,55.07800,57.37600,2.29800,0.02292
60,1226,1989,2,56.43400,59.00200,2.56800,0.02452
69,1710,2116,2,57.48600,60.91000,3.42400,0.03420
78,782,1330,0,61.01000,62.68600,1.67600,0.03128
74,853,1580,2,61.01000,62.79600,1.78600,0.01706
70,903,1096,2,61.01000,62.90600,1.89600,0.01806
79,949,1508,2,62.90600,64.80800,1.90200,0.01898
77,965,1846,2,63.01600,65.02800,2.01200,0.01930
72,1077,1358,2,64.91800,67.07400,2.15600,0.02154
75,1433,2421,2,65.13800,68.11800,2.98000,0.02866
76,1641,2476,2,67.18400,70.47200,3.28800,0.03282
71,1908,2785,2,68.22800,72.16000,3.93200,0.03816
73,1927,2821,2,70.58200,74.44600,3.86400,0.03854
83,471,853,1,74.54600,75.52100,0.97500,0.01413
84,556,1379,2,74.54600,75.74100,1.19500,0.01112
85,630,795,0,74.54600,75.85100,1.30500,0.02520
82,760,1579,1,74.54600,76.07300,1.52700,0.02280
87,865,1055,2,74.54600,76.29300,1.74700,0.01730
81,963,1401,2,75.85100,77.77800,1.92700,0.01926
88,1026,1260,2,76.40300,78.46000,2.05700,0.02052
80,1092,1821,2,77.88800,80.07600,2.18800,0.02184
89,1212,1912,2,78.57000,80.99600,2.42600,0.02424
86,1522,2270,2,80.18600,83.23200,3.04600,0.03044
97,103,980,0,83.33200,83.54300,0.21100,0.00412
96,211,549,0,83.33200,83.76300,0.43100,0.00844
92,440,906,1,83.33200,84.22100,0.88900,0.01320
93,410,1039,0,83.65300,84.55100,0.89800,0.01640
91,647,1484,2,83.33200,84.66100,1.32900,0.01294
99,678,1066,1,83.33200,84.77100,1.43900,0.02034
98,667,949,2,83.33200,84.77100,1.43900,0.01334
95,1146,1483,2,84.77100,87.17400,2.40300,0.02292
94,1465,1942,2,84.88100,87.87600,2.99500,0.02930
90,1964,2645,2,87.28400,91.32400,4.04000,0.03928
105,201,1034,2,91.42400,91.84500,0.42100,0.00402
101,265,865,1,91.42400,92.06200,0.63800,0.00795
106,528,759,0,91.42400,92.60000,1.17600,0.02112
104,725,1587,1,91.42400,92.96800,1.54400,0.02175
109,711,1527,2,91.42400,92.96800,1.54400,0.01422
103,949,1388,2,91.95200,93.96800,2.01600,0.01898
107,1572,2525,2,93.07800,96.23000,3.15200,0.03144
100,1676,2663,2,94.07800,97.52600,3.44800,0.03352
102,1853,2454,2,96.34000,100.04800,3.70800,0.03706
108,1974,2865,2,97.63600,101.59000,3.95400,0.03948
113,551,1322,0,101.69000,102.79500,1.10500,0.02204
115,653,1613,0,101.69000,103.01500,1.32500,0.02612
110,644,1329,1,101.69000,103.01500,1.32500,0.01932
119,793,1399,2,101.69000,103.38900,1.69900,0.01586
111,886,1446,2,101.69000,103.49900,1.80900,0.01772
118,945,1483,2,103.49900,105.48000,1.98100,0.01890
114,1090,1637,2,103.60900,105.90400,2.29500,0.02180
112,1263,2207,2,105.59000,108.12600,2.53600,0.02526
116,1316,1763,2,106.01400,108.75800,2.74400,0.02632
117,2000,2975,2,108.23600,112.35000,4.11400,0.04000
121,437,666,0,112.45000,113.35400,0.90400,0.01748
120,794,1484,1,112.45000,114.04400,1.59400,0.02382
125,1009,1932,2,112.45000,114.58400,2.13400,0.02018
122,1052,1446,2,112.45000,114.58400,2.13400,0.02104
128,1406,2388,2,114.69400,117.50800,2.81400,0.02812
129,1429,2130,2,114.69400,117.61800,2.92400,0.02858
126,1452,1905,2,117.61800,120.52200,2.90400,0.02904
127,1719,2599,2,117.72800,121.17000,3.44200,0.03438
124,1763,2371,2,120.63200,124.27400,3.64200,0.03526
123,1923,2683,2,121.28000,125.21000,3.93000,0.03846
132,129,475,0,125.31000,125.67900,0.36900,0.00516
133,426,845,1,125.31000,126.17000,0.86000,0.01278
137,602,1137,2,125.31000,126.56200,1.25200,0.01204
130,982,1390,2,125.31000,127.39600,2.08600,0.01964
136,1144,2016,2,126.67200,129.07800,2.40600,0.02288
134,1360,1566,2,127.50600,130.25600,2.75000,0.02720
135,1362,1535,2,129.18800,131.91600,2.72800,0.02724
139,1385,1914,2,130.36600,133.25200,2.88600,0.02770
138,1538,1754,2,132.02600,135.22000,3.19400,0.03076
131,1579,2377,2,133.36200,136.63600,3.27400,0.03158
144,285,1284,1,136.73600,137.40700,0.67100,0.00855
147,436,1390,1,136.73600,137.62700,0.89100,0.01308
145,671,1117,0,136.73600,138.09800,1.36200,0.02684
141,689,1508,0,136.73600,138.20800,1.47200,0.02756
140,698,1319,2,136.73600,138.20800,1.47200,0.01396
149,880,1780,2,136.73600,138.61800,1.88200,0.01760
146,966,1225,2,138.31800,140.27200,1.95400,0.01932
148,1467,2432,2,138.72800,141.77800,3.05000,0.02934
142,1628,2419,2,140.38200,143.64200,3.26000,0.03256
143,1777,2548,2,141.88800,145.44600,3.55800,0.03554
156,170,791,2,145.54600,145.88600,0.34000,0.00340
