task_id,length,deadline,vm_id,thread,start_time,finish_time,exec_time,cost
105,201,1034,2,1,80.34501,80.63168,0.28667,0.00365
106,528,759,1,0,80.34501,80.74168,0.39667,0.01886
100,1676,2663,2,0,80.34501,81.85168,1.50667,0.04190
102,1853,2454,2,0,81.96168,83.61668,1.65500,0.04633
103,949,1388,2,0,83.72668,84.62751,0.90083,0.02373
104,725,1587,2,0,84.73751,85.45251,0.71500,0.01813
107,1572,2525,2,0,85.56251,86.98334,1.42083,0.03930
108,1974,2865,2,0,87.09334,88.84918,1.75583,0.04935
109,711,1527,2,0,88.95918,89.66168,0.70250,0.01778
110,644,1329,2,0,89.76168,90.29835,0.53667,0.01610
111,886,1446,2,0,90.40835,91.14668,0.73833,0.02215
112,1263,2207,2,0,91.25668,92.36668,1.11000,0.03158
113,551,1322,2,0,92.47668,93.04585,0.56917,0.01377
114,1090,1637,2,0,93.15585,94.06418,0.90833,0.02725
115,653,1613,2,0,94.17418,94.71835,0.54417,0.01633
116,1316,1763,2,0,94.82835,95.97835,1.15000,0.03290
117,2000,2975,2,0,96.08835,97.86585,1.77750,0.05000
118,945,1483,2,0,97.97585,98.76335,0.78750,0.02363
119,793,1399,2,0,98.87335,99.64418,0.77083,0.01983
121,437,666,0,0,99.74418,100.01731,0.27313,0.01912
120,794,1484,2,0,99.74418,100.51585,0.77167,0.01985
122,1052,1446,2,0,100.62585,101.50251,0.87667,0.02630
123,1923,2683,2,0,101.61251,103.21585,1.60333,0.04808
124,1763,2371,2,0,103.32585,104.90585,1.58000,0.04408
125,1009,1932,2,0,105.01585,105.96751,0.95167,0.02522
126,1452,1905,2,0,106.07751,107.39835,1.32083,0.03630
127,1719,2599,2,0,107.50835,108.94168,1.43333,0.04298
128,1406,2388,2,0,109.05168,110.22335,1.17167,0.03515
129,1429,2130,2,0,110.33335,111.63501,1.30167,0.03573
132,129,475,0,1,111.73501,111.82101,0.08600,0.00516
133,426,845,1,0,111.73501,112.14930,0.41429,0.01521
130,982,1390,2,0,111.73501,112.66334,0.92833,0.02455
131,1579,2377,2,0,112.77334,114.19918,1.42583,0.03948
134,1360,1566,2,0,114.30918,115.55251,1.24333,0.03400
135,1362,1535,2,0,115.66251,116.88001,1.21750,0.03405
136,1144,2016,2,0,116.99001,118.05418,1.06417,0.02860
137,602,1137,2,0,118.16418,118.66584,0.50167,0.01505
138,1538,1754,2,0,118.77584,120.05834,1.28250,0.03845
139,1385,1914,2,0,120.16834,121.43334,1.26500,0.03462
144,285,1284,2,1,121.53334,121.79243,0.25909,0.00518
140,698,1319,2,0,121.53334,122.22501,0.69167,0.01745
141,689,1508,2,0,122.33501,122.90917,0.57417,0.01723
142,1628,2419,2,0,123.01917,124.48667,1.46750,0.04070
143,1777,2548,2,0,124.59667,126.18834,1.59167,0.04442
145,671,1117,2,0,126.29834,126.85751,0.55917,0.01678
146,966,1225,2,0,126.96751,127.77334,0.80583,0.02415
147,436,1390,2,0,127.88334,128.35667,0.47333,0.01090
148,1467,2432,2,0,128.46667,129.76584,1.29917,0.03668
149,880,1780,2,0,129.87584,130.60917,0.73333,0.02200
156,170,791,1,1,130.70917,130.83994,0.13077,0.00523
151,625,732,0,0,130.70917,131.20980,0.50063,0.02734
159,560,662,1,0,130.70917,131.20980,0.50063,0.02000
158,558,900,2,0,130.70917,131.20980,0.50063,0.01395
150,1693,2352,2,0,131.31980,132.84084,1.52104,0.04233
152,826,1546,2,0,132.95084,133.63917,0.68833,0.02065
153,1830,2787,2,0,133.74917,135.38417,1.63500,0.04575
154,1110,1901,2,0,135.49417,136.52917,1.03500,0.02775
155,510,1001,2,0,136.63917,137.14417,0.50500,0.01275
157,615,1413,2,0,137.25417,137.76667,0.51250,0.01537
162,569,940,0,0,137.86667,138.22230,0.35563,0.02489
160,989,1690,2,0,137.86667,138.80084,0.93417,0.02473
161,1865,2534,2,0,138.91084,140.57500,1.66417,0.04663
163,965,1216,2,0,140.68500,141.48917,0.80417,0.02413
164,1494,1703,2,0,141.59917,142.84500,1.24583,0.03735
165,788,1172,2,0,142.95500,143.61250,0.65750,0.01970
166,932,1857,2,0,143.72250,144.60917,0.88667,0.02330
167,864,1036,2,0,144.71917,145.54917,0.83000,0.02160
168,921,1430,2,0,145.65917,146.53667,0.87750,0.02302
169,1315,1461,2,0,146.64667,147.75667,1.11000,0.03288
175,152,944,0,1,147.85667,147.95800,0.10133,0.00608
179,469,601,0,0,147.85667,148.17800,0.32133,0.02052
177,648,852,1,0,147.85667,148.39800,0.54133,0.02314
170,1815,2196,2,0,147.85667,149.47917,1.62250,0.04538
171,1522,1820,2,0,149.58917,150.96834,1.37917,0.03805
172,903,1078,2,0,151.07834,151.83084,0.75250,0.02257
173,1880,2672,2,0,151.94084,153.61834,1.67750,0.04700
174,1105,1354,2,0,153.72834,154.64917,0.92083,0.02762
176,670,1287,2,0,154.75917,155.42500,0.66583,0.01675
178,773,1688,2,0,155.53500,156.17917,0.64417,0.01933
180,136,859,0,1,156.27917,156.36984,0.09067,0.00544
187,219,1206,2,1,156.27917,156.58826,0.30909,0.00398
183,603,780,1,0,156.27917,156.80826,0.52909,0.02154
181,1782,2143,2,0,156.27917,157.87417,1.59500,0.04455
182,1619,2159,2,0,157.98417,159.33500,1.35083,0.04048
184,1138,1635,2,0,159.44500,160.50334,1.05833,0.02845
185,926,1269,2,0,160.61334,161.49584,0.88250,0.02315
186,1634,2433,2,0,161.60584,163.07834,1.47250,0.04085
188,935,1424,2,0,163.18834,164.06834,0.88000,0.02338
189,1607,2205,2,0,164.17834,165.62917,1.45083,0.04017
199,214,456,2,1,165.72917,165.92372,0.19455,0.00389
192,619,784,0,0,165.72917,166.13560,0.40643,0.02708
197,415,610,1,0,165.72917,166.13560,0.40643,0.01482
190,830,1772,2,0,165.72917,166.53084,0.80167,0.02075
191,1116,1759,2,0,166.64084,167.66917,1.02833,0.02790
193,502,1497,2,0,167.77917,168.30750,0.52833,0.01255
194,1831,2064,2,0,168.41750,170.05417,1.63667,0.04577
195,1408,1933,2,0,170.16417,171.44834,1.28417,0.03520
196,849,1076,2,0,171.55834,172.37584,0.81750,0.02123
198,483,1064,2,0,172.48584,172.99834,0.51250,0.01208
